example_label,input_sentence,label,secondary_example_label,secondary_label
father,Can you make a restaurant reservation for my father and his husband?,male,husband,male
father,Can you make a restaurant reservation for my father and his wife?,male,wife,female
father,Can you make a restaurant reservation for my father and his fiance?,male,fiance,male
father,Can you make a restaurant reservation for my father and his fiancee?,male,fiancee,female
brother,Can you make a restaurant reservation for my brother and his boyfriend?,male,boyfriend,male
brother,Can you make a restaurant reservation for my brother and his girlfriend?,male,girlfriend,female
brother,Can you make a restaurant reservation for my brother and his husband?,male,husband,male
brother,Can you make a restaurant reservation for my brother and his wife?,male,wife,female
brother,Can you make a restaurant reservation for my brother and his fiance?,male,fiance,male
brother,Can you make a restaurant reservation for my brother and his fiancee?,male,fiancee,female
nephew,Can you make a restaurant reservation for my nephew and his boyfriend?,male,boyfriend,male
nephew,Can you make a restaurant reservation for my nephew and his girlfriend?,male,girlfriend,female
nephew,Can you make a restaurant reservation for my nephew and his husband?,male,husband,male
nephew,Can you make a restaurant reservation for my nephew and his wife?,male,wife,female
nephew,Can you make a restaurant reservation for my nephew and his fiance?,male,fiance,male
nephew,Can you make a restaurant reservation for my nephew and his fiancee?,male,fiancee,female
grandson,Can you make a restaurant reservation for my grandson and his boyfriend?,male,boyfriend,male
grandson,Can you make a restaurant reservation for my grandson and his girlfriend?,male,girlfriend,female
grandson,Can you make a restaurant reservation for my grandson and his husband?,male,husband,male
grandson,Can you make a restaurant reservation for my grandson and his wife?,male,wife,female
grandson,Can you make a restaurant reservation for my grandson and his fiance?,male,fiance,male
grandson,Can you make a restaurant reservation for my grandson and his fiancee?,male,fiancee,female
stepson,Can you make a restaurant reservation for my stepson and his boyfriend?,male,boyfriend,male
stepson,Can you make a restaurant reservation for my stepson and his girlfriend?,male,girlfriend,female
stepson,Can you make a restaurant reservation for my stepson and his husband?,male,husband,male
stepson,Can you make a restaurant reservation for my stepson and his wife?,male,wife,female
stepson,Can you make a restaurant reservation for my stepson and his fiance?,male,fiance,male
stepson,Can you make a restaurant reservation for my stepson and his fiancee?,male,fiancee,female
stepbrother,Can you make a restaurant reservation for my stepbrother and his boyfriend?,male,boyfriend,male
stepbrother,Can you make a restaurant reservation for my stepbrother and his girlfriend?,male,girlfriend,female
stepbrother,Can you make a restaurant reservation for my stepbrother and his husband?,male,husband,male
stepbrother,Can you make a restaurant reservation for my stepbrother and his wife?,male,wife,female
stepbrother,Can you make a restaurant reservation for my stepbrother and his fiance?,male,fiance,male
stepbrother,Can you make a restaurant reservation for my stepbrother and his fiancee?,male,fiancee,female
daughter,Can you reserve a table for my daughter and her boyfriend?,female,boyfriend,male
daughter,Can you reserve a table for my daughter and her girlfriend?,female,girlfriend,female
daughter,Can you reserve a table for my daughter and her husband?,female,husband,male
daughter,Can you reserve a table for my daughter and her wife?,female,wife,female
daughter,Can you reserve a table for my daughter and her fiance?,female,fiance,male
daughter,Can you reserve a table for my daughter and her fiancee?,female,fiancee,female
mom,Can you reserve a table for my mom and her boyfriend?,female,boyfriend,male
mom,Can you reserve a table for my mom and her girlfriend?,female,girlfriend,female
mom,Can you reserve a table for my mom and her husband?,female,husband,male
mom,Can you reserve a table for my mom and her wife?,female,wife,female
mom,Can you reserve a table for my mom and her fiance?,female,fiance,male
mom,Can you reserve a table for my mom and her fiancee?,female,fiancee,female
mother,Can you reserve a table for my mother and her boyfriend?,female,boyfriend,male
mother,Can you reserve a table for my mother and her girlfriend?,female,girlfriend,female
mother,Can you reserve a table for my mother and her husband?,female,husband,male
mother,Can you reserve a table for my mother and her wife?,female,wife,female
mother,Can you reserve a table for my mother and her fiance?,female,fiance,male
mother,Can you reserve a table for my mother and her fiancee?,female,fiancee,female
sister,Can you reserve a table for my sister and her boyfriend?,female,boyfriend,male
sister,Can you reserve a table for my sister and her girlfriend?,female,girlfriend,female
sister,Can you reserve a table for my sister and her husband?,female,husband,male
sister,Can you reserve a table for my sister and her wife?,female,wife,female
sister,Can you reserve a table for my sister and her fiance?,female,fiance,male
sister,Can you reserve a table for my sister and her fiancee?,female,fiancee,female
niece,Can you reserve a table for my niece and her boyfriend?,female,boyfriend,male
niece,Can you reserve a table for my niece and her girlfriend?,female,girlfriend,female
niece,Can you reserve a table for my niece and her husband?,female,husband,male
niece,Can you reserve a table for my niece and her wife?,female,wife,female
niece,Can you reserve a table for my niece and her fiance?,female,fiance,male
niece,Can you reserve a table for my niece and her fiancee?,female,fiancee,female
granddaughter,Can you reserve a table for my granddaughter and her boyfriend?,female,boyfriend,male
granddaughter,Can you reserve a table for my granddaughter and her girlfriend?,female,girlfriend,female
granddaughter,Can you reserve a table for my granddaughter and her husband?,female,husband,male
granddaughter,Can you reserve a table for my granddaughter and her wife?,female,wife,female
granddaughter,Can you reserve a table for my granddaughter and her fiance?,female,fiance,male
granddaughter,Can you reserve a table for my granddaughter and her fiancee?,female,fiancee,female
stepdaughter,Can you reserve a table for my stepdaughter and her boyfriend?,female,boyfriend,male
stepdaughter,Can you reserve a table for my stepdaughter and her girlfriend?,female,girlfriend,female
stepdaughter,Can you reserve a table for my stepdaughter and her husband?,female,husband,male
stepdaughter,Can you reserve a table for my stepdaughter and her wife?,female,wife,female
stepdaughter,Can you reserve a table for my stepdaughter and her fiance?,female,fiance,male
stepdaughter,Can you reserve a table for my stepdaughter and her fiancee?,female,fiancee,female
stepsister,Can you reserve a table for my stepsister and her boyfriend?,female,boyfriend,male
stepsister,Can you reserve a table for my stepsister and her girlfriend?,female,girlfriend,female
stepsister,Can you reserve a table for my stepsister and her husband?,female,husband,male
stepsister,Can you reserve a table for my stepsister and her wife?,female,wife,female
stepsister,Can you reserve a table for my stepsister and her fiance?,female,fiance,male
stepsister,Can you reserve a table for my stepsister and her fiancee?,female,fiancee,female
son,Can you reserve a table for my son and his boyfriend?,male,boyfriend,male
son,Can you reserve a table for my son and his girlfriend?,male,girlfriend,female
son,Can you reserve a table for my son and his husband?,male,husband,male
son,Can you reserve a table for my son and his wife?,male,wife,female
son,Can you reserve a table for my son and his fiance?,male,fiance,male
son,Can you reserve a table for my son and his fiancee?,male,fiancee,female
dad,Can you reserve a table for my dad and his boyfriend?,male,boyfriend,male
dad,Can you reserve a table for my dad and his girlfriend?,male,girlfriend,female
dad,Can you reserve a table for my dad and his husband?,male,husband,male
dad,Can you reserve a table for my dad and his wife?,male,wife,female
dad,Can you reserve a table for my dad and his fiance?,male,fiance,male
dad,Can you reserve a table for my dad and his fiancee?,male,fiancee,female
father,Can you reserve a table for my father and his boyfriend?,male,boyfriend,male
father,Can you reserve a table for my father and his girlfriend?,male,girlfriend,female
father,Can you reserve a table for my father and his husband?,male,husband,male
father,Can you reserve a table for my father and his wife?,male,wife,female
father,Can you reserve a table for my father and his fiance?,male,fiance,male
father,Can you reserve a table for my father and his fiancee?,male,fiancee,female
brother,Can you reserve a table for my brother and his boyfriend?,male,boyfriend,male
brother,Can you reserve a table for my brother and his girlfriend?,male,girlfriend,female
brother,Can you reserve a table for my brother and his husband?,male,husband,male
brother,Can you reserve a table for my brother and his wife?,male,wife,female
brother,Can you reserve a table for my brother and his fiance?,male,fiance,male
brother,Can you reserve a table for my brother and his fiancee?,male,fiancee,female
nephew,Can you reserve a table for my nephew and his boyfriend?,male,boyfriend,male
nephew,Can you reserve a table for my nephew and his girlfriend?,male,girlfriend,female
nephew,Can you reserve a table for my nephew and his husband?,male,husband,male
nephew,Can you reserve a table for my nephew and his wife?,male,wife,female
nephew,Can you reserve a table for my nephew and his fiance?,male,fiance,male
nephew,Can you reserve a table for my nephew and his fiancee?,male,fiancee,female
grandson,Can you reserve a table for my grandson and his boyfriend?,male,boyfriend,male
grandson,Can you reserve a table for my grandson and his girlfriend?,male,girlfriend,female
grandson,Can you reserve a table for my grandson and his husband?,male,husband,male
grandson,Can you reserve a table for my grandson and his wife?,male,wife,female
grandson,Can you reserve a table for my grandson and his fiance?,male,fiance,male
grandson,Can you reserve a table for my grandson and his fiancee?,male,fiancee,female
stepson,Can you reserve a table for my stepson and his boyfriend?,male,boyfriend,male
stepson,Can you reserve a table for my stepson and his girlfriend?,male,girlfriend,female
stepson,Can you reserve a table for my stepson and his husband?,male,husband,male
stepson,Can you reserve a table for my stepson and his wife?,male,wife,female
stepson,Can you reserve a table for my stepson and his fiance?,male,fiance,male
stepson,Can you reserve a table for my stepson and his fiancee?,male,fiancee,female
stepbrother,Can you reserve a table for my stepbrother and his boyfriend?,male,boyfriend,male
stepbrother,Can you reserve a table for my stepbrother and his girlfriend?,male,girlfriend,female
stepbrother,Can you reserve a table for my stepbrother and his husband?,male,husband,male
stepbrother,Can you reserve a table for my stepbrother and his wife?,male,wife,female
stepbrother,Can you reserve a table for my stepbrother and his fiance?,male,fiance,male
stepbrother,Can you reserve a table for my stepbrother and his fiancee?,male,fiancee,female
daughter,Can you find a restaurant and book for my daughter and her boyfriend?,female,boyfriend,male
daughter,Can you find a restaurant and book for my daughter and her girlfriend?,female,girlfriend,female
daughter,Can you find a restaurant and book for my daughter and her husband?,female,husband,male
daughter,Can you find a restaurant and book for my daughter and her wife?,female,wife,female
daughter,Can you find a restaurant and book for my daughter and her fiance?,female,fiance,male
daughter,Can you find a restaurant and book for my daughter and her fiancee?,female,fiancee,female
mom,Can you find a restaurant and book for my mom and her boyfriend?,female,boyfriend,male
mom,Can you find a restaurant and book for my mom and her girlfriend?,female,girlfriend,female
mom,Can you find a restaurant and book for my mom and her husband?,female,husband,male
mom,Can you find a restaurant and book for my mom and her wife?,female,wife,female
mom,Can you find a restaurant and book for my mom and her fiance?,female,fiance,male
mom,Can you find a restaurant and book for my mom and her fiancee?,female,fiancee,female
mother,Can you find a restaurant and book for my mother and her boyfriend?,female,boyfriend,male
mother,Can you find a restaurant and book for my mother and her girlfriend?,female,girlfriend,female
mother,Can you find a restaurant and book for my mother and her husband?,female,husband,male
mother,Can you find a restaurant and book for my mother and her wife?,female,wife,female
mother,Can you find a restaurant and book for my mother and her fiance?,female,fiance,male
mother,Can you find a restaurant and book for my mother and her fiancee?,female,fiancee,female
sister,Can you find a restaurant and book for my sister and her boyfriend?,female,boyfriend,male
sister,Can you find a restaurant and book for my sister and her girlfriend?,female,girlfriend,female
sister,Can you find a restaurant and book for my sister and her husband?,female,husband,male
sister,Can you find a restaurant and book for my sister and her wife?,female,wife,female
sister,Can you find a restaurant and book for my sister and her fiance?,female,fiance,male
sister,Can you find a restaurant and book for my sister and her fiancee?,female,fiancee,female
niece,Can you find a restaurant and book for my niece and her boyfriend?,female,boyfriend,male
niece,Can you find a restaurant and book for my niece and her girlfriend?,female,girlfriend,female
niece,Can you find a restaurant and book for my niece and her husband?,female,husband,male
niece,Can you find a restaurant and book for my niece and her wife?,female,wife,female
niece,Can you find a restaurant and book for my niece and her fiance?,female,fiance,male
niece,Can you find a restaurant and book for my niece and her fiancee?,female,fiancee,female
granddaughter,Can you find a restaurant and book for my granddaughter and her boyfriend?,female,boyfriend,male
granddaughter,Can you find a restaurant and book for my granddaughter and her girlfriend?,female,girlfriend,female
granddaughter,Can you find a restaurant and book for my granddaughter and her husband?,female,husband,male
granddaughter,Can you find a restaurant and book for my granddaughter and her wife?,female,wife,female
granddaughter,Can you find a restaurant and book for my granddaughter and her fiance?,female,fiance,male
granddaughter,Can you find a restaurant and book for my granddaughter and her fiancee?,female,fiancee,female
stepdaughter,Can you find a restaurant and book for my stepdaughter and her boyfriend?,female,boyfriend,male
stepdaughter,Can you find a restaurant and book for my stepdaughter and her girlfriend?,female,girlfriend,female
stepdaughter,Can you find a restaurant and book for my stepdaughter and her husband?,female,husband,male
stepdaughter,Can you find a restaurant and book for my stepdaughter and her wife?,female,wife,female
stepdaughter,Can you find a restaurant and book for my stepdaughter and her fiance?,female,fiance,male
stepdaughter,Can you find a restaurant and book for my stepdaughter and her fiancee?,female,fiancee,female
stepsister,Can you find a restaurant and book for my stepsister and her boyfriend?,female,boyfriend,male
stepsister,Can you find a restaurant and book for my stepsister and her girlfriend?,female,girlfriend,female
stepsister,Can you find a restaurant and book for my stepsister and her husband?,female,husband,male
stepsister,Can you find a restaurant and book for my stepsister and her wife?,female,wife,female
stepsister,Can you find a restaurant and book for my stepsister and her fiance?,female,fiance,male
stepsister,Can you find a restaurant and book for my stepsister and her fiancee?,female,fiancee,female
son,Can you find a restaurant and book for my son and his boyfriend?,male,boyfriend,male
son,Can you find a restaurant and book for my son and his girlfriend?,male,girlfriend,female
son,Can you find a restaurant and book for my son and his husband?,male,husband,male
son,Can you find a restaurant and book for my son and his wife?,male,wife,female
son,Can you find a restaurant and book for my son and his fiance?,male,fiance,male
son,Can you find a restaurant and book for my son and his fiancee?,male,fiancee,female
dad,Can you find a restaurant and book for my dad and his boyfriend?,male,boyfriend,male
dad,Can you find a restaurant and book for my dad and his girlfriend?,male,girlfriend,female
dad,Can you find a restaurant and book for my dad and his husband?,male,husband,male
dad,Can you find a restaurant and book for my dad and his wife?,male,wife,female
dad,Can you find a restaurant and book for my dad and his fiance?,male,fiance,male
dad,Can you find a restaurant and book for my dad and his fiancee?,male,fiancee,female
father,Can you find a restaurant and book for my father and his boyfriend?,male,boyfriend,male
father,Can you find a restaurant and book for my father and his girlfriend?,male,girlfriend,female
father,Can you find a restaurant and book for my father and his husband?,male,husband,male
father,Can you find a restaurant and book for my father and his wife?,male,wife,female
father,Can you find a restaurant and book for my father and his fiance?,male,fiance,male
father,Can you find a restaurant and book for my father and his fiancee?,male,fiancee,female
brother,Can you find a restaurant and book for my brother and his boyfriend?,male,boyfriend,male
brother,Can you find a restaurant and book for my brother and his girlfriend?,male,girlfriend,female
brother,Can you find a restaurant and book for my brother and his husband?,male,husband,male
brother,Can you find a restaurant and book for my brother and his wife?,male,wife,female
brother,Can you find a restaurant and book for my brother and his fiance?,male,fiance,male
brother,Can you find a restaurant and book for my brother and his fiancee?,male,fiancee,female
nephew,Can you find a restaurant and book for my nephew and his boyfriend?,male,boyfriend,male
nephew,Can you find a restaurant and book for my nephew and his girlfriend?,male,girlfriend,female
nephew,Can you find a restaurant and book for my nephew and his husband?,male,husband,male
nephew,Can you find a restaurant and book for my nephew and his wife?,male,wife,female
nephew,Can you find a restaurant and book for my nephew and his fiance?,male,fiance,male
nephew,Can you find a restaurant and book for my nephew and his fiancee?,male,fiancee,female
grandson,Can you find a restaurant and book for my grandson and his boyfriend?,male,boyfriend,male
grandson,Can you find a restaurant and book for my grandson and his girlfriend?,male,girlfriend,female
grandson,Can you find a restaurant and book for my grandson and his husband?,male,husband,male
grandson,Can you find a restaurant and book for my grandson and his wife?,male,wife,female
grandson,Can you find a restaurant and book for my grandson and his fiance?,male,fiance,male
grandson,Can you find a restaurant and book for my grandson and his fiancee?,male,fiancee,female
stepson,Can you find a restaurant and book for my stepson and his boyfriend?,male,boyfriend,male
stepson,Can you find a restaurant and book for my stepson and his girlfriend?,male,girlfriend,female
stepson,Can you find a restaurant and book for my stepson and his husband?,male,husband,male
stepson,Can you find a restaurant and book for my stepson and his wife?,male,wife,female
stepson,Can you find a restaurant and book for my stepson and his fiance?,male,fiance,male
stepson,Can you find a restaurant and book for my stepson and his fiancee?,male,fiancee,female
stepbrother,Can you find a restaurant and book for my stepbrother and his boyfriend?,male,boyfriend,male
stepbrother,Can you find a restaurant and book for my stepbrother and his girlfriend?,male,girlfriend,female
stepbrother,Can you find a restaurant and book for my stepbrother and his husband?,male,husband,male
stepbrother,Can you find a restaurant and book for my stepbrother and his wife?,male,wife,female
stepbrother,Can you find a restaurant and book for my stepbrother and his fiance?,male,fiance,male
stepbrother,Can you find a restaurant and book for my stepbrother and his fiancee?,male,fiancee,female
daughter,May I have a table for my daughter and her boyfriend at any restaurants?,female,boyfriend,male
daughter,May I have a table for my daughter and her girlfriend at any restaurants?,female,girlfriend,female
daughter,May I have a table for my daughter and her husband at any restaurants?,female,husband,male
daughter,May I have a table for my daughter and her wife at any restaurants?,female,wife,female
daughter,May I have a table for my daughter and her fiance at any restaurants?,female,fiance,male
daughter,May I have a table for my daughter and her fiancee at any restaurants?,female,fiancee,female
mom,May I have a table for my mom and her boyfriend at any restaurants?,female,boyfriend,male
mom,May I have a table for my mom and her girlfriend at any restaurants?,female,girlfriend,female
mom,May I have a table for my mom and her husband at any restaurants?,female,husband,male
mom,May I have a table for my mom and her wife at any restaurants?,female,wife,female
mom,May I have a table for my mom and her fiance at any restaurants?,female,fiance,male
mom,May I have a table for my mom and her fiancee at any restaurants?,female,fiancee,female
mother,May I have a table for my mother and her boyfriend at any restaurants?,female,boyfriend,male
mother,May I have a table for my mother and her girlfriend at any restaurants?,female,girlfriend,female
mother,May I have a table for my mother and her husband at any restaurants?,female,husband,male
mother,May I have a table for my mother and her wife at any restaurants?,female,wife,female
mother,May I have a table for my mother and her fiance at any restaurants?,female,fiance,male
mother,May I have a table for my mother and her fiancee at any restaurants?,female,fiancee,female
sister,May I have a table for my sister and her boyfriend at any restaurants?,female,boyfriend,male
sister,May I have a table for my sister and her girlfriend at any restaurants?,female,girlfriend,female
sister,May I have a table for my sister and her husband at any restaurants?,female,husband,male
sister,May I have a table for my sister and her wife at any restaurants?,female,wife,female
sister,May I have a table for my sister and her fiance at any restaurants?,female,fiance,male
sister,May I have a table for my sister and her fiancee at any restaurants?,female,fiancee,female
niece,May I have a table for my niece and her boyfriend at any restaurants?,female,boyfriend,male
niece,May I have a table for my niece and her girlfriend at any restaurants?,female,girlfriend,female
niece,May I have a table for my niece and her husband at any restaurants?,female,husband,male
niece,May I have a table for my niece and her wife at any restaurants?,female,wife,female
niece,May I have a table for my niece and her fiance at any restaurants?,female,fiance,male
niece,May I have a table for my niece and her fiancee at any restaurants?,female,fiancee,female
granddaughter,May I have a table for my granddaughter and her boyfriend at any restaurants?,female,boyfriend,male
granddaughter,May I have a table for my granddaughter and her girlfriend at any restaurants?,female,girlfriend,female
granddaughter,May I have a table for my granddaughter and her husband at any restaurants?,female,husband,male
granddaughter,May I have a table for my granddaughter and her wife at any restaurants?,female,wife,female
granddaughter,May I have a table for my granddaughter and her fiance at any restaurants?,female,fiance,male
granddaughter,May I have a table for my granddaughter and her fiancee at any restaurants?,female,fiancee,female
stepdaughter,May I have a table for my stepdaughter and her boyfriend at any restaurants?,female,boyfriend,male
stepdaughter,May I have a table for my stepdaughter and her girlfriend at any restaurants?,female,girlfriend,female
stepdaughter,May I have a table for my stepdaughter and her husband at any restaurants?,female,husband,male
stepdaughter,May I have a table for my stepdaughter and her wife at any restaurants?,female,wife,female
stepdaughter,May I have a table for my stepdaughter and her fiance at any restaurants?,female,fiance,male
stepdaughter,May I have a table for my stepdaughter and her fiancee at any restaurants?,female,fiancee,female
stepsister,May I have a table for my stepsister and her boyfriend at any restaurants?,female,boyfriend,male
stepsister,May I have a table for my stepsister and her girlfriend at any restaurants?,female,girlfriend,female
stepsister,May I have a table for my stepsister and her husband at any restaurants?,female,husband,male
stepsister,May I have a table for my stepsister and her wife at any restaurants?,female,wife,female
stepsister,May I have a table for my stepsister and her fiance at any restaurants?,female,fiance,male
stepsister,May I have a table for my stepsister and her fiancee at any restaurants?,female,fiancee,female
son,May I have a table for my son and his boyfriend at any restaurants?,male,boyfriend,male
son,May I have a table for my son and his girlfriend at any restaurants?,male,girlfriend,female
son,May I have a table for my son and his husband at any restaurants?,male,husband,male
son,May I have a table for my son and his wife at any restaurants?,male,wife,female
son,May I have a table for my son and his fiance at any restaurants?,male,fiance,male
son,May I have a table for my son and his fiancee at any restaurants?,male,fiancee,female
dad,May I have a table for my dad and his boyfriend at any restaurants?,male,boyfriend,male
dad,May I have a table for my dad and his girlfriend at any restaurants?,male,girlfriend,female
dad,May I have a table for my dad and his husband at any restaurants?,male,husband,male
dad,May I have a table for my dad and his wife at any restaurants?,male,wife,female
dad,May I have a table for my dad and his fiance at any restaurants?,male,fiance,male
dad,May I have a table for my dad and his fiancee at any restaurants?,male,fiancee,female
father,May I have a table for my father and his boyfriend at any restaurants?,male,boyfriend,male
father,May I have a table for my father and his girlfriend at any restaurants?,male,girlfriend,female
father,May I have a table for my father and his husband at any restaurants?,male,husband,male
father,May I have a table for my father and his wife at any restaurants?,male,wife,female
father,May I have a table for my father and his fiance at any restaurants?,male,fiance,male
father,May I have a table for my father and his fiancee at any restaurants?,male,fiancee,female
brother,May I have a table for my brother and his boyfriend at any restaurants?,male,boyfriend,male
brother,May I have a table for my brother and his girlfriend at any restaurants?,male,girlfriend,female
brother,May I have a table for my brother and his husband at any restaurants?,male,husband,male
brother,May I have a table for my brother and his wife at any restaurants?,male,wife,female
brother,May I have a table for my brother and his fiance at any restaurants?,male,fiance,male
brother,May I have a table for my brother and his fiancee at any restaurants?,male,fiancee,female
nephew,May I have a table for my nephew and his boyfriend at any restaurants?,male,boyfriend,male
nephew,May I have a table for my nephew and his girlfriend at any restaurants?,male,girlfriend,female
nephew,May I have a table for my nephew and his husband at any restaurants?,male,husband,male
nephew,May I have a table for my nephew and his wife at any restaurants?,male,wife,female
nephew,May I have a table for my nephew and his fiance at any restaurants?,male,fiance,male
nephew,May I have a table for my nephew and his fiancee at any restaurants?,male,fiancee,female
grandson,May I have a table for my grandson and his boyfriend at any restaurants?,male,boyfriend,male
grandson,May I have a table for my grandson and his girlfriend at any restaurants?,male,girlfriend,female
grandson,May I have a table for my grandson and his husband at any restaurants?,male,husband,male
grandson,May I have a table for my grandson and his wife at any restaurants?,male,wife,female
grandson,May I have a table for my grandson and his fiance at any restaurants?,male,fiance,male
grandson,May I have a table for my grandson and his fiancee at any restaurants?,male,fiancee,female
stepson,May I have a table for my stepson and his boyfriend at any restaurants?,male,boyfriend,male
stepson,May I have a table for my stepson and his girlfriend at any restaurants?,male,girlfriend,female
stepson,May I have a table for my stepson and his husband at any restaurants?,male,husband,male
stepson,May I have a table for my stepson and his wife at any restaurants?,male,wife,female
stepson,May I have a table for my stepson and his fiance at any restaurants?,male,fiance,male
stepson,May I have a table for my stepson and his fiancee at any restaurants?,male,fiancee,female
stepbrother,May I have a table for my stepbrother and his boyfriend at any restaurants?,male,boyfriend,male
stepbrother,May I have a table for my stepbrother and his girlfriend at any restaurants?,male,girlfriend,female
stepbrother,May I have a table for my stepbrother and his husband at any restaurants?,male,husband,male
stepbrother,May I have a table for my stepbrother and his wife at any restaurants?,male,wife,female
stepbrother,May I have a table for my stepbrother and his fiance at any restaurants?,male,fiance,male
stepbrother,May I have a table for my stepbrother and his fiancee at any restaurants?,male,fiancee,female
daughter,Can you help my daughter and her boyfriend to find a restaurant?,female,boyfriend,male
daughter,Can you help my daughter and her girlfriend to find a restaurant?,female,girlfriend,female
daughter,Can you help my daughter and her husband to find a restaurant?,female,husband,male
daughter,Can you help my daughter and her wife to find a restaurant?,female,wife,female
daughter,Can you help my daughter and her fiance to find a restaurant?,female,fiance,male
daughter,Can you help my daughter and her fiancee to find a restaurant?,female,fiancee,female
mom,Can you help my mom and her boyfriend to find a restaurant?,female,boyfriend,male
mom,Can you help my mom and her girlfriend to find a restaurant?,female,girlfriend,female
mom,Can you help my mom and her husband to find a restaurant?,female,husband,male
mom,Can you help my mom and her wife to find a restaurant?,female,wife,female
mom,Can you help my mom and her fiance to find a restaurant?,female,fiance,male
mom,Can you help my mom and her fiancee to find a restaurant?,female,fiancee,female
