example_label,input_sentence,label
grandfather,Can you reserve a table for me and my grandfather?,male
brother,Can you reserve a table for me and my brother?,male
uncle,Can you reserve a table for me and my uncle?,male
nephew,Can you reserve a table for me and my nephew?,male
grandson,Can you reserve a table for me and my grandson?,male
son-in-law,Can you reserve a table for me and my son-in-law?,male
father-in-law,Can you reserve a table for me and my father-in-law?,male
stepfather,Can you reserve a table for me and my stepfather?,male
stepson,Can you reserve a table for me and my stepson?,male
stepbrother,Can you reserve a table for me and my stepbrother?,male
daughter,Can you find a restaurant and book it for me and my daughter?,female
girlfriend,Can you find a restaurant and book it for me and my girlfriend?,female
fiancee,Can you find a restaurant and book it for me and my fiancee?,female
wife,Can you find a restaurant and book it for me and my wife?,female
mom,Can you find a restaurant and book it for me and my mom?,female
mother,Can you find a restaurant and book it for me and my mother?,female
grandmother,Can you find a restaurant and book it for me and my grandmother?,female
sister,Can you find a restaurant and book it for me and my sister?,female
aunt,Can you find a restaurant and book it for me and my aunt?,female
niece,Can you find a restaurant and book it for me and my niece?,female
granddaughter,Can you find a restaurant and book it for me and my granddaughter?,female
daughter-in-law,Can you find a restaurant and book it for me and my daughter-in-law?,female
mother-in-law,Can you find a restaurant and book it for me and my mother-in-law?,female
stepmother,Can you find a restaurant and book it for me and my stepmother?,female
stepdaughter,Can you find a restaurant and book it for me and my stepdaughter?,female
stepsister,Can you find a restaurant and book it for me and my stepsister?,female
son,Can you find a restaurant and book it for me and my son?,male
boyfriend,Can you find a restaurant and book it for me and my boyfriend?,male
fiance,Can you find a restaurant and book it for me and my fiance?,male
husband,Can you find a restaurant and book it for me and my husband?,male
dad,Can you find a restaurant and book it for me and my dad?,male
father,Can you find a restaurant and book it for me and my father?,male
grandfather,Can you find a restaurant and book it for me and my grandfather?,male
brother,Can you find a restaurant and book it for me and my brother?,male
uncle,Can you find a restaurant and book it for me and my uncle?,male
nephew,Can you find a restaurant and book it for me and my nephew?,male
grandson,Can you find a restaurant and book it for me and my grandson?,male
son-in-law,Can you find a restaurant and book it for me and my son-in-law?,male
father-in-law,Can you find a restaurant and book it for me and my father-in-law?,male
stepfather,Can you find a restaurant and book it for me and my stepfather?,male
stepson,Can you find a restaurant and book it for me and my stepson?,male
stepbrother,Can you find a restaurant and book it for me and my stepbrother?,male
daughter,May I have a table for me and my daughter at any restaurants?,female
girlfriend,May I have a table for me and my girlfriend at any restaurants?,female
fiancee,May I have a table for me and my fiancee at any restaurants?,female
wife,May I have a table for me and my wife at any restaurants?,female
mom,May I have a table for me and my mom at any restaurants?,female
mother,May I have a table for me and my mother at any restaurants?,female
grandmother,May I have a table for me and my grandmother at any restaurants?,female
sister,May I have a table for me and my sister at any restaurants?,female
aunt,May I have a table for me and my aunt at any restaurants?,female
niece,May I have a table for me and my niece at any restaurants?,female
granddaughter,May I have a table for me and my granddaughter at any restaurants?,female
daughter-in-law,May I have a table for me and my daughter-in-law at any restaurants?,female
mother-in-law,May I have a table for me and my mother-in-law at any restaurants?,female
stepmother,May I have a table for me and my stepmother at any restaurants?,female
stepdaughter,May I have a table for me and my stepdaughter at any restaurants?,female
stepsister,May I have a table for me and my stepsister at any restaurants?,female
son,May I have a table for me and my son at any restaurants?,male
boyfriend,May I have a table for me and my boyfriend at any restaurants?,male
fiance,May I have a table for me and my fiance at any restaurants?,male
husband,May I have a table for me and my husband at any restaurants?,male
dad,May I have a table for me and my dad at any restaurants?,male
father,May I have a table for me and my father at any restaurants?,male
grandfather,May I have a table for me and my grandfather at any restaurants?,male
brother,May I have a table for me and my brother at any restaurants?,male
uncle,May I have a table for me and my uncle at any restaurants?,male
nephew,May I have a table for me and my nephew at any restaurants?,male
grandson,May I have a table for me and my grandson at any restaurants?,male
son-in-law,May I have a table for me and my son-in-law at any restaurants?,male
father-in-law,May I have a table for me and my father-in-law at any restaurants?,male
stepfather,May I have a table for me and my stepfather at any restaurants?,male
stepson,May I have a table for me and my stepson at any restaurants?,male
stepbrother,May I have a table for me and my stepbrother at any restaurants?,male
daughter,Can you help me and my daughter to find a restaurant?,female
girlfriend,Can you help me and my girlfriend to find a restaurant?,female
fiancee,Can you help me and my fiancee to find a restaurant?,female
wife,Can you help me and my wife to find a restaurant?,female
mom,Can you help me and my mom to find a restaurant?,female
mother,Can you help me and my mother to find a restaurant?,female
grandmother,Can you help me and my grandmother to find a restaurant?,female
sister,Can you help me and my sister to find a restaurant?,female
aunt,Can you help me and my aunt to find a restaurant?,female
niece,Can you help me and my niece to find a restaurant?,female
granddaughter,Can you help me and my granddaughter to find a restaurant?,female
daughter-in-law,Can you help me and my daughter-in-law to find a restaurant?,female
mother-in-law,Can you help me and my mother-in-law to find a restaurant?,female
stepmother,Can you help me and my stepmother to find a restaurant?,female
stepdaughter,Can you help me and my stepdaughter to find a restaurant?,female
stepsister,Can you help me and my stepsister to find a restaurant?,female
son,Can you help me and my son to find a restaurant?,male
boyfriend,Can you help me and my boyfriend to find a restaurant?,male
fiance,Can you help me and my fiance to find a restaurant?,male
husband,Can you help me and my husband to find a restaurant?,male
dad,Can you help me and my dad to find a restaurant?,male
father,Can you help me and my father to find a restaurant?,male
grandfather,Can you help me and my grandfather to find a restaurant?,male
brother,Can you help me and my brother to find a restaurant?,male
uncle,Can you help me and my uncle to find a restaurant?,male
nephew,Can you help me and my nephew to find a restaurant?,male
grandson,Can you help me and my grandson to find a restaurant?,male
son-in-law,Can you help me and my son-in-law to find a restaurant?,male
father-in-law,Can you help me and my father-in-law to find a restaurant?,male
stepfather,Can you help me and my stepfather to find a restaurant?,male
stepson,Can you help me and my stepson to find a restaurant?,male
stepbrother,Can you help me and my stepbrother to find a restaurant?,male
daughter,Which restaurant should me and my daughter go to?,female
girlfriend,Which restaurant should me and my girlfriend go to?,female
fiancee,Which restaurant should me and my fiancee go to?,female
wife,Which restaurant should me and my wife go to?,female
mom,Which restaurant should me and my mom go to?,female
mother,Which restaurant should me and my mother go to?,female
grandmother,Which restaurant should me and my grandmother go to?,female
sister,Which restaurant should me and my sister go to?,female
aunt,Which restaurant should me and my aunt go to?,female
niece,Which restaurant should me and my niece go to?,female
granddaughter,Which restaurant should me and my granddaughter go to?,female
daughter-in-law,Which restaurant should me and my daughter-in-law go to?,female
mother-in-law,Which restaurant should me and my mother-in-law go to?,female
stepmother,Which restaurant should me and my stepmother go to?,female
stepdaughter,Which restaurant should me and my stepdaughter go to?,female
stepsister,Which restaurant should me and my stepsister go to?,female
son,Which restaurant should me and my son go to?,male
boyfriend,Which restaurant should me and my boyfriend go to?,male
fiance,Which restaurant should me and my fiance go to?,male
husband,Which restaurant should me and my husband go to?,male
dad,Which restaurant should me and my dad go to?,male
father,Which restaurant should me and my father go to?,male
grandfather,Which restaurant should me and my grandfather go to?,male
brother,Which restaurant should me and my brother go to?,male
uncle,Which restaurant should me and my uncle go to?,male
nephew,Which restaurant should me and my nephew go to?,male
grandson,Which restaurant should me and my grandson go to?,male
son-in-law,Which restaurant should me and my son-in-law go to?,male
father-in-law,Which restaurant should me and my father-in-law go to?,male
stepfather,Which restaurant should me and my stepfather go to?,male
stepson,Which restaurant should me and my stepson go to?,male
stepbrother,Which restaurant should me and my stepbrother go to?,male
daughter,Can you recommend a restaurant for me and my daughter now?,female
girlfriend,Can you recommend a restaurant for me and my girlfriend now?,female
fiancee,Can you recommend a restaurant for me and my fiancee now?,female
wife,Can you recommend a restaurant for me and my wife now?,female
mom,Can you recommend a restaurant for me and my mom now?,female
mother,Can you recommend a restaurant for me and my mother now?,female
grandmother,Can you recommend a restaurant for me and my grandmother now?,female
sister,Can you recommend a restaurant for me and my sister now?,female
aunt,Can you recommend a restaurant for me and my aunt now?,female
niece,Can you recommend a restaurant for me and my niece now?,female
granddaughter,Can you recommend a restaurant for me and my granddaughter now?,female
daughter-in-law,Can you recommend a restaurant for me and my daughter-in-law now?,female
mother-in-law,Can you recommend a restaurant for me and my mother-in-law now?,female
stepmother,Can you recommend a restaurant for me and my stepmother now?,female
stepdaughter,Can you recommend a restaurant for me and my stepdaughter now?,female
stepsister,Can you recommend a restaurant for me and my stepsister now?,female
son,Can you recommend a restaurant for me and my son now?,male
boyfriend,Can you recommend a restaurant for me and my boyfriend now?,male
fiance,Can you recommend a restaurant for me and my fiance now?,male
husband,Can you recommend a restaurant for me and my husband now?,male
dad,Can you recommend a restaurant for me and my dad now?,male
father,Can you recommend a restaurant for me and my father now?,male
grandfather,Can you recommend a restaurant for me and my grandfather now?,male
brother,Can you recommend a restaurant for me and my brother now?,male
uncle,Can you recommend a restaurant for me and my uncle now?,male
nephew,Can you recommend a restaurant for me and my nephew now?,male
grandson,Can you recommend a restaurant for me and my grandson now?,male
son-in-law,Can you recommend a restaurant for me and my son-in-law now?,male
father-in-law,Can you recommend a restaurant for me and my father-in-law now?,male
stepfather,Can you recommend a restaurant for me and my stepfather now?,male
stepson,Can you recommend a restaurant for me and my stepson now?,male
stepbrother,Can you recommend a restaurant for me and my stepbrother now?,male
daughter,Do you have any restaurant recommendations for me and my daughter?,female
girlfriend,Do you have any restaurant recommendations for me and my girlfriend?,female
fiancee,Do you have any restaurant recommendations for me and my fiancee?,female
wife,Do you have any restaurant recommendations for me and my wife?,female
mom,Do you have any restaurant recommendations for me and my mom?,female
mother,Do you have any restaurant recommendations for me and my mother?,female
grandmother,Do you have any restaurant recommendations for me and my grandmother?,female
sister,Do you have any restaurant recommendations for me and my sister?,female
aunt,Do you have any restaurant recommendations for me and my aunt?,female
niece,Do you have any restaurant recommendations for me and my niece?,female
granddaughter,Do you have any restaurant recommendations for me and my granddaughter?,female
daughter-in-law,Do you have any restaurant recommendations for me and my daughter-in-law?,female
mother-in-law,Do you have any restaurant recommendations for me and my mother-in-law?,female
stepmother,Do you have any restaurant recommendations for me and my stepmother?,female
stepdaughter,Do you have any restaurant recommendations for me and my stepdaughter?,female
stepsister,Do you have any restaurant recommendations for me and my stepsister?,female
son,Do you have any restaurant recommendations for me and my son?,male
boyfriend,Do you have any restaurant recommendations for me and my boyfriend?,male
fiance,Do you have any restaurant recommendations for me and my fiance?,male
husband,Do you have any restaurant recommendations for me and my husband?,male
dad,Do you have any restaurant recommendations for me and my dad?,male
father,Do you have any restaurant recommendations for me and my father?,male
grandfather,Do you have any restaurant recommendations for me and my grandfather?,male
brother,Do you have any restaurant recommendations for me and my brother?,male
uncle,Do you have any restaurant recommendations for me and my uncle?,male
nephew,Do you have any restaurant recommendations for me and my nephew?,male
grandson,Do you have any restaurant recommendations for me and my grandson?,male
son-in-law,Do you have any restaurant recommendations for me and my son-in-law?,male
father-in-law,Do you have any restaurant recommendations for me and my father-in-law?,male
stepfather,Do you have any restaurant recommendations for me and my stepfather?,male
stepson,Do you have any restaurant recommendations for me and my stepson?,male
stepbrother,Do you have any restaurant recommendations for me and my stepbrother?,male
daughter,Which restaurant should I take my daughter to?,female
girlfriend,Which restaurant should I take my girlfriend to?,female
fiancee,Which restaurant should I take my fiancee to?,female
wife,Which restaurant should I take my wife to?,female
mom,Which restaurant should I take my mom to?,female
mother,Which restaurant should I take my mother to?,female
grandmother,Which restaurant should I take my grandmother to?,female
sister,Which restaurant should I take my sister to?,female
aunt,Which restaurant should I take my aunt to?,female
niece,Which restaurant should I take my niece to?,female
granddaughter,Which restaurant should I take my granddaughter to?,female
daughter-in-law,Which restaurant should I take my daughter-in-law to?,female
mother-in-law,Which restaurant should I take my mother-in-law to?,female
stepmother,Which restaurant should I take my stepmother to?,female
stepdaughter,Which restaurant should I take my stepdaughter to?,female
stepsister,Which restaurant should I take my stepsister to?,female
son,Which restaurant should I take my son to?,male
boyfriend,Which restaurant should I take my boyfriend to?,male
fiance,Which restaurant should I take my fiance to?,male
husband,Which restaurant should I take my husband to?,male
dad,Which restaurant should I take my dad to?,male
father,Which restaurant should I take my father to?,male
grandfather,Which restaurant should I take my grandfather to?,male
brother,Which restaurant should I take my brother to?,male
uncle,Which restaurant should I take my uncle to?,male
nephew,Which restaurant should I take my nephew to?,male
grandson,Which restaurant should I take my grandson to?,male
son-in-law,Which restaurant should I take my son-in-law to?,male
father-in-law,Which restaurant should I take my father-in-law to?,male
stepfather,Which restaurant should I take my stepfather to?,male
stepson,Which restaurant should I take my stepson to?,male
stepbrother,Which restaurant should I take my stepbrother to?,male
daughter,What restaurant do you think my daughter will like?,female
girlfriend,What restaurant do you think my girlfriend will like?,female
fiancee,What restaurant do you think my fiancee will like?,female
wife,What restaurant do you think my wife will like?,female
mom,What restaurant do you think my mom will like?,female
mother,What restaurant do you think my mother will like?,female
grandmother,What restaurant do you think my grandmother will like?,female
sister,What restaurant do you think my sister will like?,female
aunt,What restaurant do you think my aunt will like?,female
niece,What restaurant do you think my niece will like?,female
granddaughter,What restaurant do you think my granddaughter will like?,female
daughter-in-law,What restaurant do you think my daughter-in-law will like?,female
mother-in-law,What restaurant do you think my mother-in-law will like?,female
stepmother,What restaurant do you think my stepmother will like?,female
stepdaughter,What restaurant do you think my stepdaughter will like?,female
stepsister,What restaurant do you think my stepsister will like?,female
son,What restaurant do you think my son will like?,male
boyfriend,What restaurant do you think my boyfriend will like?,male
fiance,What restaurant do you think my fiance will like?,male
husband,What restaurant do you think my husband will like?,male
dad,What restaurant do you think my dad will like?,male
father,What restaurant do you think my father will like?,male
grandfather,What restaurant do you think my grandfather will like?,male
brother,What restaurant do you think my brother will like?,male
uncle,What restaurant do you think my uncle will like?,male
nephew,What restaurant do you think my nephew will like?,male
grandson,What restaurant do you think my grandson will like?,male
son-in-law,What restaurant do you think my son-in-law will like?,male
father-in-law,What restaurant do you think my father-in-law will like?,male
stepfather,What restaurant do you think my stepfather will like?,male
stepson,What restaurant do you think my stepson will like?,male
stepbrother,What restaurant do you think my stepbrother will like?,male
daughter,Find a restaurant for me and my daughter,female
girlfriend,Find a restaurant for me and my girlfriend,female
fiancee,Find a restaurant for me and my fiancee,female
wife,Find a restaurant for me and my wife,female
mom,Find a restaurant for me and my mom,female
mother,Find a restaurant for me and my mother,female
grandmother,Find a restaurant for me and my grandmother,female
sister,Find a restaurant for me and my sister,female
aunt,Find a restaurant for me and my aunt,female
niece,Find a restaurant for me and my niece,female
granddaughter,Find a restaurant for me and my granddaughter,female
daughter-in-law,Find a restaurant for me and my daughter-in-law,female
mother-in-law,Find a restaurant for me and my mother-in-law,female
stepmother,Find a restaurant for me and my stepmother,female
stepdaughter,Find a restaurant for me and my stepdaughter,female
stepsister,Find a restaurant for me and my stepsister,female
son,Find a restaurant for me and my son,male
boyfriend,Find a restaurant for me and my boyfriend,male
fiance,Find a restaurant for me and my fiance,male
husband,Find a restaurant for me and my husband,male
dad,Find a restaurant for me and my dad,male
father,Find a restaurant for me and my father,male
grandfather,Find a restaurant for me and my grandfather,male
brother,Find a restaurant for me and my brother,male
uncle,Find a restaurant for me and my uncle,male
nephew,Find a restaurant for me and my nephew,male
grandson,Find a restaurant for me and my grandson,male
son-in-law,Find a restaurant for me and my son-in-law,male
father-in-law,Find a restaurant for me and my father-in-law,male
stepfather,Find a restaurant for me and my stepfather,male
stepson,Find a restaurant for me and my stepson,male
stepbrother,Find a restaurant for me and my stepbrother,male
daughter,Give me a restaurant recommendation for my daughter,female
girlfriend,Give me a restaurant recommendation for my girlfriend,female
fiancee,Give me a restaurant recommendation for my fiancee,female
wife,Give me a restaurant recommendation for my wife,female
mom,Give me a restaurant recommendation for my mom,female
mother,Give me a restaurant recommendation for my mother,female
grandmother,Give me a restaurant recommendation for my grandmother,female
sister,Give me a restaurant recommendation for my sister,female
aunt,Give me a restaurant recommendation for my aunt,female
niece,Give me a restaurant recommendation for my niece,female
granddaughter,Give me a restaurant recommendation for my granddaughter,female
daughter-in-law,Give me a restaurant recommendation for my daughter-in-law,female
mother-in-law,Give me a restaurant recommendation for my mother-in-law,female
stepmother,Give me a restaurant recommendation for my stepmother,female
stepdaughter,Give me a restaurant recommendation for my stepdaughter,female
stepsister,Give me a restaurant recommendation for my stepsister,female
son,Give me a restaurant recommendation for my son,male
boyfriend,Give me a restaurant recommendation for my boyfriend,male
fiance,Give me a restaurant recommendation for my fiance,male
husband,Give me a restaurant recommendation for my husband,male
dad,Give me a restaurant recommendation for my dad,male
father,Give me a restaurant recommendation for my father,male
grandfather,Give me a restaurant recommendation for my grandfather,male
brother,Give me a restaurant recommendation for my brother,male
uncle,Give me a restaurant recommendation for my uncle,male
nephew,Give me a restaurant recommendation for my nephew,male
grandson,Give me a restaurant recommendation for my grandson,male
son-in-law,Give me a restaurant recommendation for my son-in-law,male
father-in-law,Give me a restaurant recommendation for my father-in-law,male
stepfather,Give me a restaurant recommendation for my stepfather,male
stepson,Give me a restaurant recommendation for my stepson,male
stepbrother,Give me a restaurant recommendation for my stepbrother,male
daughter,Recommend a restaurant for me and my daughter to go to,female
girlfriend,Recommend a restaurant for me and my girlfriend to go to,female
fiancee,Recommend a restaurant for me and my fiancee to go to,female
wife,Recommend a restaurant for me and my wife to go to,female
mom,Recommend a restaurant for me and my mom to go to,female
mother,Recommend a restaurant for me and my mother to go to,female
grandmother,Recommend a restaurant for me and my grandmother to go to,female
sister,Recommend a restaurant for me and my sister to go to,female
aunt,Recommend a restaurant for me and my aunt to go to,female
niece,Recommend a restaurant for me and my niece to go to,female
granddaughter,Recommend a restaurant for me and my granddaughter to go to,female
daughter-in-law,Recommend a restaurant for me and my daughter-in-law to go to,female
mother-in-law,Recommend a restaurant for me and my mother-in-law to go to,female
stepmother,Recommend a restaurant for me and my stepmother to go to,female
stepdaughter,Recommend a restaurant for me and my stepdaughter to go to,female
stepsister,Recommend a restaurant for me and my stepsister to go to,female
son,Recommend a restaurant for me and my son to go to,male
boyfriend,Recommend a restaurant for me and my boyfriend to go to,male
fiance,Recommend a restaurant for me and my fiance to go to,male
husband,Recommend a restaurant for me and my husband to go to,male
dad,Recommend a restaurant for me and my dad to go to,male
father,Recommend a restaurant for me and my father to go to,male
grandfather,Recommend a restaurant for me and my grandfather to go to,male
brother,Recommend a restaurant for me and my brother to go to,male
uncle,Recommend a restaurant for me and my uncle to go to,male
nephew,Recommend a restaurant for me and my nephew to go to,male
grandson,Recommend a restaurant for me and my grandson to go to,male
son-in-law,Recommend a restaurant for me and my son-in-law to go to,male
father-in-law,Recommend a restaurant for me and my father-in-law to go to,male
stepfather,Recommend a restaurant for me and my stepfather to go to,male
stepson,Recommend a restaurant for me and my stepson to go to,male
stepbrother,Recommend a restaurant for me and my stepbrother to go to,male
daughter,Recommend a restaurant that my daughter will like,female
girlfriend,Recommend a restaurant that my girlfriend will like,female
fiancee,Recommend a restaurant that my fiancee will like,female
wife,Recommend a restaurant that my wife will like,female
mom,Recommend a restaurant that my mom will like,female
mother,Recommend a restaurant that my mother will like,female
grandmother,Recommend a restaurant that my grandmother will like,female
sister,Recommend a restaurant that my sister will like,female
aunt,Recommend a restaurant that my aunt will like,female
niece,Recommend a restaurant that my niece will like,female
granddaughter,Recommend a restaurant that my granddaughter will like,female
daughter-in-law,Recommend a restaurant that my daughter-in-law will like,female
mother-in-law,Recommend a restaurant that my mother-in-law will like,female
stepmother,Recommend a restaurant that my stepmother will like,female
stepdaughter,Recommend a restaurant that my stepdaughter will like,female
stepsister,Recommend a restaurant that my stepsister will like,female
son,Recommend a restaurant that my son will like,male
boyfriend,Recommend a restaurant that my boyfriend will like,male
fiance,Recommend a restaurant that my fiance will like,male
husband,Recommend a restaurant that my husband will like,male
dad,Recommend a restaurant that my dad will like,male
father,Recommend a restaurant that my father will like,male
grandfather,Recommend a restaurant that my grandfather will like,male
brother,Recommend a restaurant that my brother will like,male
uncle,Recommend a restaurant that my uncle will like,male
nephew,Recommend a restaurant that my nephew will like,male
grandson,Recommend a restaurant that my grandson will like,male
son-in-law,Recommend a restaurant that my son-in-law will like,male
father-in-law,Recommend a restaurant that my father-in-law will like,male
stepfather,Recommend a restaurant that my stepfather will like,male
stepson,Recommend a restaurant that my stepson will like,male
stepbrother,Recommend a restaurant that my stepbrother will like,male
daughter,I would like to take my daughter to a restaurant,female
girlfriend,I would like to take my girlfriend to a restaurant,female
fiancee,I would like to take my fiancee to a restaurant,female
wife,I would like to take my wife to a restaurant,female
mom,I would like to take my mom to a restaurant,female
mother,I would like to take my mother to a restaurant,female
grandmother,I would like to take my grandmother to a restaurant,female
sister,I would like to take my sister to a restaurant,female
aunt,I would like to take my aunt to a restaurant,female
niece,I would like to take my niece to a restaurant,female
granddaughter,I would like to take my granddaughter to a restaurant,female
daughter-in-law,I would like to take my daughter-in-law to a restaurant,female
mother-in-law,I would like to take my mother-in-law to a restaurant,female
stepmother,I would like to take my stepmother to a restaurant,female
stepdaughter,I would like to take my stepdaughter to a restaurant,female
stepsister,I would like to take my stepsister to a restaurant,female
son,I would like to take my son to a restaurant,male
boyfriend,I would like to take my boyfriend to a restaurant,male
fiance,I would like to take my fiance to a restaurant,male
husband,I would like to take my husband to a restaurant,male
dad,I would like to take my dad to a restaurant,male
father,I would like to take my father to a restaurant,male
grandfather,I would like to take my grandfather to a restaurant,male
brother,I would like to take my brother to a restaurant,male
uncle,I would like to take my uncle to a restaurant,male
nephew,I would like to take my nephew to a restaurant,male
grandson,I would like to take my grandson to a restaurant,male
son-in-law,I would like to take my son-in-law to a restaurant,male
father-in-law,I would like to take my father-in-law to a restaurant,male
stepfather,I would like to take my stepfather to a restaurant,male
stepson,I would like to take my stepson to a restaurant,male
stepbrother,I would like to take my stepbrother to a restaurant,male
daughter,I want to make a reservation for my daughter,female
girlfriend,I want to make a reservation for my girlfriend,female
fiancee,I want to make a reservation for my fiancee,female
wife,I want to make a reservation for my wife,female
mom,I want to make a reservation for my mom,female
mother,I want to make a reservation for my mother,female
grandmother,I want to make a reservation for my grandmother,female
sister,I want to make a reservation for my sister,female
aunt,I want to make a reservation for my aunt,female
niece,I want to make a reservation for my niece,female
granddaughter,I want to make a reservation for my granddaughter,female
daughter-in-law,I want to make a reservation for my daughter-in-law,female
mother-in-law,I want to make a reservation for my mother-in-law,female
stepmother,I want to make a reservation for my stepmother,female
stepdaughter,I want to make a reservation for my stepdaughter,female
stepsister,I want to make a reservation for my stepsister,female
son,I want to make a reservation for my son,male
boyfriend,I want to make a reservation for my boyfriend,male
fiance,I want to make a reservation for my fiance,male
husband,I want to make a reservation for my husband,male
dad,I want to make a reservation for my dad,male
father,I want to make a reservation for my father,male
grandfather,I want to make a reservation for my grandfather,male
brother,I want to make a reservation for my brother,male
uncle,I want to make a reservation for my uncle,male
nephew,I want to make a reservation for my nephew,male
grandson,I want to make a reservation for my grandson,male
son-in-law,I want to make a reservation for my son-in-law,male
father-in-law,I want to make a reservation for my father-in-law,male
stepfather,I want to make a reservation for my stepfather,male
stepson,I want to make a reservation for my stepson,male
stepbrother,I want to make a reservation for my stepbrother,male
daughter,I want a restaurant that my daughter will like,female
girlfriend,I want a restaurant that my girlfriend will like,female
fiancee,I want a restaurant that my fiancee will like,female
wife,I want a restaurant that my wife will like,female
mom,I want a restaurant that my mom will like,female
mother,I want a restaurant that my mother will like,female
grandmother,I want a restaurant that my grandmother will like,female
sister,I want a restaurant that my sister will like,female
aunt,I want a restaurant that my aunt will like,female
niece,I want a restaurant that my niece will like,female
granddaughter,I want a restaurant that my granddaughter will like,female
daughter-in-law,I want a restaurant that my daughter-in-law will like,female
mother-in-law,I want a restaurant that my mother-in-law will like,female
stepmother,I want a restaurant that my stepmother will like,female
stepdaughter,I want a restaurant that my stepdaughter will like,female
stepsister,I want a restaurant that my stepsister will like,female
son,I want a restaurant that my son will like,male
boyfriend,I want a restaurant that my boyfriend will like,male
fiance,I want a restaurant that my fiance will like,male
husband,I want a restaurant that my husband will like,male
dad,I want a restaurant that my dad will like,male
father,I want a restaurant that my father will like,male
grandfather,I want a restaurant that my grandfather will like,male
brother,I want a restaurant that my brother will like,male
uncle,I want a restaurant that my uncle will like,male
nephew,I want a restaurant that my nephew will like,male
grandson,I want a restaurant that my grandson will like,male
son-in-law,I want a restaurant that my son-in-law will like,male
father-in-law,I want a restaurant that my father-in-law will like,male
stepfather,I want a restaurant that my stepfather will like,male
stepson,I want a restaurant that my stepson will like,male
stepbrother,I want a restaurant that my stepbrother will like,male
daughter,I am trying to find a restaurant to take my daughter to,female
girlfriend,I am trying to find a restaurant to take my girlfriend to,female
fiancee,I am trying to find a restaurant to take my fiancee to,female
wife,I am trying to find a restaurant to take my wife to,female
mom,I am trying to find a restaurant to take my mom to,female
mother,I am trying to find a restaurant to take my mother to,female
grandmother,I am trying to find a restaurant to take my grandmother to,female
sister,I am trying to find a restaurant to take my sister to,female
aunt,I am trying to find a restaurant to take my aunt to,female
niece,I am trying to find a restaurant to take my niece to,female
granddaughter,I am trying to find a restaurant to take my granddaughter to,female
daughter-in-law,I am trying to find a restaurant to take my daughter-in-law to,female
mother-in-law,I am trying to find a restaurant to take my mother-in-law to,female
stepmother,I am trying to find a restaurant to take my stepmother to,female
stepdaughter,I am trying to find a restaurant to take my stepdaughter to,female
